jobTitle,position,minBudget,maxBudget,location,description,jobType,skills,recruiter,client,minExp,maxExp,noticePeriod,status,jobId,vacancies,priority,workType,preprocessed_description,preprocessed_skills,combined_text
Application DeveloperLinuxMySQL,ApplicationDeveloperOpensource,100000.0,150000.0,{ChennaiBangalorePune},Should have exp in C++ Development in Linux with MYSQL,Permanent,"{C++,MySQL}",sarojini,CIMT7642,5.0,6.0,15-30 days,Active,JDAD6533,2.0,High,Work from Office,exp development linux mysql,,exp development linux mysql 
Angular Developer,AngularDeveloper,10.0,13.0,{hyderabad},"Work with other team members.
Design and implement visually aesthetic user interfaces.
Identify issues with front end code and rectify them to remove bugs.
Create unit tests to ensure code is functioning as expected.
Create well written documentation.
Ensure front end code is able to query APIs.
Audit code to identify bottlenecks of performance and fixing them.
Should have  the technical ability to implement user interfaces using JavaScript and the Angular framework. 
Should  know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. 
Should also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
Skills Angular framework and JavaScript.UX/UI.
",Permanent,{Angular},Venkata Sai Rohith,CIAS8119,3.0,6.0,0-15 days,Active,JDAD8163,3.0,High,Work from Home,work team member design implement visually aesthetic user interface identify issue front end code rectify remove bug create unit test ensure code function expect create well write documentation ensure front end code able query apis audit code identify bottleneck performance fix technical ability implement user interface use javascript angular framework know good practice modern way create interface ensure interface able interact backend apis also need great communication collaboration skill need interact fellow frontend backend developer regularly ensure component integrate together skill angular framework,angular,work team member design implement visually aesthetic user interface identify issue front end code rectify remove bug create unit test ensure code function expect create well write documentation ensure front end code able query apis audit code identify bottleneck performance fix technical ability implement user interface use javascript angular framework know good practice modern way create interface ensure interface able interact backend apis also need great communication collaboration skill need interact fellow frontend backend developer regularly ensure component integrate together skill angular framework angular
Application Developer OraclePL/SQL,ApplicationDeveloperOpensource,1000000.0,1500000.0,{BangaloreChennaiPune},"
Should have exp in C,Pro C development,Oracle PL/SQL
",Permanent,{C++},sarojini,CIMT7642,5.0,6.0,15-30 days,Active,JDAD8170,2.0,High,Work from Office,exp c pro c development oracle pl sql,,exp c pro c development oracle pl sql 
Application DeveloperLinux,ApplicationDeveloperOpensource,1000000.0,1500000.0,{ChennaiBangalorePune},Should have exp in C++ Development in Linux platform,Permanent,"{C++,Linux}",sarojini,CIMT7642,5.0,6.0,15-30 days,Active,JDAD8316,14.0,High,Work from Office,exp development linux platform,,exp development linux platform 
Azure Devops Engineer,Developemnt,600000.0,1500000.0,{Hyderabad},Implementing DevOps Development Processes  ·       Design a version control strategy  ·       Integrate source control  ·       Manage build infrastructure  ·       Implement code flow  ·       Implement a mobile DevOps strategy  ·       Managing application configuration and secrets  Implementing Continuous Integration  ·       Manage code quality and security policies  ·       Implement a container build strategy  ·       Implement a build strategy  Implementing Continuous Delivery  ·       Design a release strategy  ·       Set up a release management workflow  ·       Implement an appropriate deployment pattern  Implementing Dependency Management  ·       Design a dependency management strategy  ·       Manage security and compliance  Implementing Application Infrastructure  Design an infrastructure and configuration management strategy Implement infrastructure compliance and security Implementing Continuous Feedback  Recommend and design system feedback mechanisms Implement ,Permanent,"{Azure,Devops,Docker,kubernetes}",sG585763,CIAS8119,4.0,6.0,15-30 days,Active,JDAD8552,1.0,Medium,Hybrid,implement devop development process design version control strategy integrate source control manage build infrastructure implement code flow implement mobile devop strategy manage application configuration secret implement continuous integration manage code quality security policy implement container build strategy implement build strategy implement continuous delivery design release strategy set release management workflow implement appropriate deployment pattern implement dependency management design dependency management strategy manage security compliance implement application infrastructure design infrastructure configuration management strategy implement infrastructure compliance security implement continuous feedback recommend design system feedback mechanism implement,azure devop docker kubernete,implement devop development process design version control strategy integrate source control manage build infrastructure implement code flow implement mobile devop strategy manage application configuration secret implement continuous integration manage code quality security policy implement container build strategy implement build strategy implement continuous delivery design release strategy set release management workflow implement appropriate deployment pattern implement dependency management design dependency management strategy manage security compliance implement application infrastructure design infrastructure configuration management strategy implement infrastructure compliance security implement continuous feedback recommend design system feedback mechanism implement azure devop docker kubernete
Application Developer UNIX PLSQL,ApplicationDeveloperOpensource,1000000.0,1500000.0,{ChennaiBangalorePune},"Should have exp in Oracle ,Pl/sql,Unix Shell Scripting
Should have max 5 to 6 yrs experience (7B band)
Should have strong linux base OS 
Should have strong database exp with Oracle with wrkng knowledge of SQL",Permanent,"{PL/SQL,Oracle,Linux,""Shell scripting""}",sarojini,CIMT7642,5.0,6.0,15-30 days,inActive,JDAD8606,3.0,High,Work from Office,exp oracle pl sql unix shell scripting max yrs experience band strong linux base os strong database exp oracle wrkng knowledge sql,pl sql oracle script,exp oracle pl sql unix shell scripting max yrs experience band strong linux base os strong database exp oracle wrkng knowledge sql pl sql oracle script
Azure Analysis Engineer,Azure Analysis Engineer,1.0,10.0,"{""Bangalore, Chennai, Pune, Mumbai""}","Job Description:

Azure Analysis Services Developer :

3.5+ to 6 Years

G4

Bang/Chennai/Pune/Mumbai

Immediate candidate only

3+ years of experience in developing tabular models in Azure Analysis Service
2+ Years of experience in Azure SQL Database
Having prior experience of building multi-dimensional model on SSAS shall be advantageous
Good T-SQL knowledge and experience
Good experience in writing DAX Queries
Experience in building hierarchies, measures in a tabular model using DAX query
 ",Permanent,"{""Azure Analysis""}",Achyuth,CIHW9344,3.5,6.0,15-30 days,Active,JDAE2298,2.2666666666666666,High,Work from Office,job description azure analysis service developer year bang chennai pune mumbai immediate candidate year experience develop tabular model azure analysis service year experience azure sql database prior experience build multi dimensional model ssa shall advantageous good sql knowledge experience good experience write dax query experience building hierarchy measure tabular model use dax query,azure analysis,job description azure analysis service developer year bang chennai pune mumbai immediate candidate year experience develop tabular model azure analysis service year experience azure sql database prior experience build multi dimensional model ssa shall advantageous good sql knowledge experience good experience write dax query experience building hierarchy measure tabular model use dax query azure analysis
AI Engineer,AIMLEngineer,2.0,3.0,{Hyderabad},"Designing machine learning systems and self-running
artificial intelligence (AI) software to automate predictive
models.
 Transforming data science prototypes and applying
appropriate ML algorithms and tools.
 Ensuring that algorithms generate accurate user
recommendations.
 Turning unstructured data into useful information by auto-
tagging images and text-to-speech conversions.
 Solving complex problems with multi-layered data sets, as
well as optimizing existing machine learning libraries and
frameworks.
 Developing ML algorithms to analyse huge volumes of
historical data to make predictions.
 Running tests, performing statistical analysis, and
interpreting test results.
Advanced proficiency with Python.
 Extensive knowledge of ML frameworks, libraries, data
structures, data modelling, and software architecture.
 In-depth knowledge of mathematics, statistics, and
algorithms.
 Superb analytical and problem-solving abilities.
 Great communication and collaboration skills.
 ",Permanent,"{python,""Data modelling"",AI,Statistics,""Data Structures""}",Venkata Sai Rohith,CIMT7642,0.0,2.0,0-15 days,Active,JDAE7377,1.0,High,Work from Home,design machine learning system self run artificial intelligence ai software automate predictive model transform datum science prototype apply appropriate ml algorithm tool ensure algorithm generate accurate user recommendation turn unstructured datum useful information tagging image text speech conversion solve complex problem multi layered data set well optimize exist machine learning library framework develop ml algorithm analyse huge volume historical datum make prediction run test perform statistical analysis interpret test result advanced proficiency python extensive knowledge ml framework library datum structure datum modelling software architecture depth knowledge mathematic statistic algorithm superb analytical problem solve ability great communication collaboration skill,structure,design machine learning system self run artificial intelligence ai software automate predictive model transform datum science prototype apply appropriate ml algorithm tool ensure algorithm generate accurate user recommendation turn unstructured datum useful information tagging image text speech conversion solve complex problem multi layered data set well optimize exist machine learning library framework develop ml algorithm analyse huge volume historical datum make prediction run test perform statistical analysis interpret test result advanced proficiency python extensive knowledge ml framework library datum structure datum modelling software architecture depth knowledge mathematic statistic algorithm superb analytical problem solve ability great communication collaboration skill structure
Aggregation Engineer,Aggregation Engineer,12.0,15.0,{Bangalore},"Bachelor’s or Master’s degree in Computer Science or Engineering, 3-4 (Only In Between Not more than or Less ) years hands on Experience in Java Experience in frameworks like Spring, Hibernate; Experience in Web App technologies (HTML, CSS, JavaScript, jQuery) Competence in Linux platform; Having knowledge of Xpath, regex Familiarity in Maven, Git Familiarity of Continuous Integration tools (Jenkins etc) Familiarity in Unit Testing (Junit) Familiarity in Selenium",Permanent,"{""Java Developer"",Spring,Hibernate,""Unit Testing""}",PC138515,CINE2222,3.0,4.0,0-15 days,Active,JDAE8888,1.0,Medium,Work from Office,bachelor master degree computer science engineering less year hand experience java experience framework like spring hibernate experience web app technology html css javascript jquery competence linux platform knowledge xpath regex familiarity maven git familiarity continuous integration tool jenkin etc familiarity unit testing junit familiarity selenium,java testing,bachelor master degree computer science engineering less year hand experience java experience framework like spring hibernate experience web app technology html css javascript jquery competence linux platform knowledge xpath regex familiarity maven git familiarity continuous integration tool jenkin etc familiarity unit testing junit familiarity selenium java testing
Accounting Fresher,Accounting Fresher,100000.0,150000.0,{Bangalore},Looking for accounting fresher,Permanent,"{Accounting,""react js""}",Arunasree,CITA8941,1.25,2.0,15-30 days,closed,JDAF2267,2.2666666666666666,High,Work from Office,look account fresher,js,look account fresher js
Mean Stack Developer,Development,6.0,22.0,{Remote},"1. Good communication skills  2. Hands-on experience in Nodejs12+, Angular9+, AWS RDS Postgresql.   ",Permanent,"{Angular,Node.js,AWS,Mongodb}",sG585763,CIAS8119,5.0,8.0,15-30 days,Active,JDAF4503,2.0,Medium,Work from Home,good communication skill hand experience aws rd postgresql,angular aw mongodb,good communication skill hand experience aws rd postgresql angular aw mongodb
Atlassian Jira Developer,development,10.0,12.0,{Pune},hdsyg,Permanent,"{Java,JIRA}",sG585763,CIMY4030,4.0,6.0,15-30 days,Active,JDAJ4382,1.0,Medium,Work from Office,hdsyg,java jira,hdsyg java jira
