"jobTitle","position","minBudget","maxBudget","travelReq","location","description","attachment","orgId","jobType","skills","recruiter","client","minExp","maxExp","noticePeriod","status","jobId","createDate","vacancies","priority","priceType","workType","comment","subvendorId","Questionnaires","country","department","eligibility","responsibilities"
"Angular Developer","AngularDeveloper",10,13,False,"{hyderabad}","Work with other team members.
Design and implement visually aesthetic user interfaces.
Identify issues with front end code and rectify them to remove bugs.
Create unit tests to ensure code is functioning as expected.
Create well written documentation.
Ensure front end code is able to query APIs.
Audit code to identify bottlenecks of performance and fixing them.
Should have  the technical ability to implement user interfaces using JavaScript and the Angular framework. 
Should  know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. 
Should also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
Skills Angular framework and JavaScript.UX/UI.
","",1,"Permanent","{Angular}","sarojini","CIGT5528","3","6","0-15 days","Active","JDAD4411","2022-06-14 11:44:36.58832",1,"High","INR","Work from Home",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Application DeveloperLinux in versant","ApplicationDeveloperOpensource",1000000,1500000,False,"{ChennaiBangalorePune}","Should have exp in C++ Development in Linux and in Versant","",1,"Permanent","{Linux,C++}","sarojini","CIMT7642","5","6","15-30 days","Active","JDAD5758","2022-07-22 07:07:49.281687",1,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Angular Developer","Developemnt",60000,1500000,False,"{Hyderabad}","Designing, coding, testing, and deploying the application. Debugging issues in the application code to ensure it is working correctly. Integrating third-party libraries with the codebase to extend its functionality. Communicating with other team members on any pending tasks or changes in the project.   Ensuring that all code complies with best practices and standards set by the company or organization they work for.","",1,"Permanent","{Angular}","sG585763","CIMT7642","5","7","0-15 days","Active","JDAD5888","2023-03-20 06:20:21.276138",2,"Medium","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Application DeveloperLinuxMySQL","ApplicationDeveloperOpensource",100000,150000,False,"{ChennaiBangalorePune}","Should have exp in C++ Development in Linux with MYSQL","",1,"Permanent","{C++,MySQL}","sarojini","CIMT7642","5","6","15-30 days","Active","JDAD6533","2022-07-22 07:11:46.705819",2,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Angular Developer","AngularDeveloper",10,13,False,"{hyderabad}","Work with other team members.
Design and implement visually aesthetic user interfaces.
Identify issues with front end code and rectify them to remove bugs.
Create unit tests to ensure code is functioning as expected.
Create well written documentation.
Ensure front end code is able to query APIs.
Audit code to identify bottlenecks of performance and fixing them.
Should have  the technical ability to implement user interfaces using JavaScript and the Angular framework. 
Should  know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. 
Should also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
Skills Angular framework and JavaScript.UX/UI.
","",1,"Permanent","{Angular}","Venkata Sai Rohith","CIAS8119","3","6","0-15 days","Active","JDAD8163","2022-04-01 05:08:48.366616",3,"High","","Work from Home",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Application Developer OraclePL/SQL","ApplicationDeveloperOpensource",1000000,1500000,False,"{BangaloreChennaiPune}","
Should have exp in C,Pro C development,Oracle PL/SQL
","",1,"Permanent","{C++}","sarojini","CIMT7642","5","6","15-30 days","Active","JDAD8170","2022-07-22 06:26:22.681368",2,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Application DeveloperLinux","ApplicationDeveloperOpensource",1000000,1500000,False,"{ChennaiBangalorePune}","Should have exp in C++ Development in Linux platform","",1,"Permanent","{C++,Linux}","sarojini","CIMT7642","5","6","15-30 days","Active","JDAD8316","2022-07-22 06:29:25.086871",14,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Azure Devops Engineer","Developemnt",600000,1500000,False,"{Hyderabad}","Implementing DevOps Development Processes  ·       Design a version control strategy  ·       Integrate source control  ·       Manage build infrastructure  ·       Implement code flow  ·       Implement a mobile DevOps strategy  ·       Managing application configuration and secrets  Implementing Continuous Integration  ·       Manage code quality and security policies  ·       Implement a container build strategy  ·       Implement a build strategy  Implementing Continuous Delivery  ·       Design a release strategy  ·       Set up a release management workflow  ·       Implement an appropriate deployment pattern  Implementing Dependency Management  ·       Design a dependency management strategy  ·       Manage security and compliance  Implementing Application Infrastructure  Design an infrastructure and configuration management strategy Implement infrastructure compliance and security Implementing Continuous Feedback  Recommend and design system feedback mechanisms Implement ","",1,"Permanent","{Azure,Devops,Docker,kubernetes}","sG585763","CIAS8119","4","6","15-30 days","Active","JDAD8552","2023-02-01 05:31:07.164967",1,"Medium","INR","Hybrid","",NULL,NULL,NULL,NULL,NULL,NULL
"Application Developer UNIX PLSQL","ApplicationDeveloperOpensource",1000000,1500000,False,"{ChennaiBangalorePune}","Should have exp in Oracle ,Pl/sql,Unix Shell Scripting
Should have max 5 to 6 yrs experience (7B band)
Should have strong linux base OS 
Should have strong database exp with Oracle with wrkng knowledge of SQL","",1,"Permanent","{PL/SQL,Oracle,Linux,""Shell scripting""}","sarojini","CIMT7642","5","6","15-30 days","inActive","JDAD8606","2022-07-22 07:22:41.553529",3,"High","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Azure Analysis Engineer","Azure Analysis Engineer",1,10,False,"{""Bangalore, Chennai, Pune, Mumbai""}","Job Description:

Azure Analysis Services Developer :

3.5+ to 6 Years

G4

Bang/Chennai/Pune/Mumbai

Immediate candidate only

3+ years of experience in developing tabular models in Azure Analysis Service
2+ Years of experience in Azure SQL Database
Having prior experience of building multi-dimensional model on SSAS shall be advantageous
Good T-SQL knowledge and experience
Good experience in writing DAX Queries
Experience in building hierarchies, measures in a tabular model using DAX query
 ","https://storage.googleapis.com/hrm-musquare/jobs/Azure_1640579940",1,"Permanent","{""Azure Analysis""}","Achyuth","CIHW9344","3.5","6","15-30 days","Active","JDAE2298","2022-02-17 06:09:20.180967",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"AI Engineer","AIMLEngineer",2,3,False,"{Hyderabad}","Designing machine learning systems and self-running
artificial intelligence (AI) software to automate predictive
models.
 Transforming data science prototypes and applying
appropriate ML algorithms and tools.
 Ensuring that algorithms generate accurate user
recommendations.
 Turning unstructured data into useful information by auto-
tagging images and text-to-speech conversions.
 Solving complex problems with multi-layered data sets, as
well as optimizing existing machine learning libraries and
frameworks.
 Developing ML algorithms to analyse huge volumes of
historical data to make predictions.
 Running tests, performing statistical analysis, and
interpreting test results.
Advanced proficiency with Python.
 Extensive knowledge of ML frameworks, libraries, data
structures, data modelling, and software architecture.
 In-depth knowledge of mathematics, statistics, and
algorithms.
 Superb analytical and problem-solving abilities.
 Great communication and collaboration skills.
 ","",1,"Permanent","{python,""Data modelling"",AI,Statistics,""Data Structures""}","Venkata Sai Rohith","CIMT7642","0","2","0-15 days","Active","JDAE7377","2022-04-18 10:27:39.43792",1,"High","INR","Work from Home",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Aggregation Engineer","Aggregation Engineer",12,15,False,"{Bangalore}","Bachelor’s or Master’s degree in Computer Science or Engineering, 3-4 (Only In Between Not more than or Less ) years hands on Experience in Java Experience in frameworks like Spring, Hibernate; Experience in Web App technologies (HTML, CSS, JavaScript, jQuery) Competence in Linux platform; Having knowledge of Xpath, regex Familiarity in Maven, Git Familiarity of Continuous Integration tools (Jenkins etc) Familiarity in Unit Testing (Junit) Familiarity in Selenium","",1,"Permanent","{""Java Developer"",Spring,Hibernate,""Unit Testing""}","PC138515","CINE2222","3","4","0-15 days","Active","JDAE8888","2023-05-16 11:45:55.645089",1,"Medium","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Accounting Fresher","Accounting Fresher",100000,150000,False,"{Bangalore}","Looking for accounting fresher","",1,"Permanent","{Accounting,""react js""}","Arunasree","CITA8941","1.25","2","15-30 days","closed","JDAF2267","2022-02-17 06:09:20.180967",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Mean Stack Developer","Development",6,22,False,"{Remote}","1. Good communication skills  2. Hands-on experience in Nodejs12+, Angular9+, AWS RDS Postgresql.   ","",1,"Permanent","{Angular,Node.js,AWS,Mongodb}","sG585763","CIAS8119","5","8","15-30 days","Active","JDAF4503","2022-11-11 12:04:14.894411",2,"Medium","INR","Work from Home","",NULL,NULL,NULL,NULL,NULL,NULL
"Atlassian Jira Developer","development",10,12,False,"{Pune}","hdsyg","",1,"Permanent","{Java,JIRA}","sG585763","CIMY4030","4","6","15-30 days","Active","JDAJ4382","2023-04-11 13:35:52.583295",1,"Medium","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Assistant manager -solution delivery","Management",3,5,False,"{Mumbai}","Strong customer service and solution implementation background with minimum of 2 -3 years of experience in handling Corporate / Enterprise Clients.
Should have working knowledge of Supply Chain processes and requirement & In-depth knowledge of Cost & Efficiency drivers in Supply chain Logistics, Warehousing. , to ensure solution design accordingly.
Excellent & Honed working knowledge of Microsoft Power-point and Microsoft Excel, Flow Chart Tools like Draw IO etc.,
Self-starter with internal drive to bring projects to closure
Necessary to have knowledge of Service Delivery concepts like SDLC, ITIL.
Have good comprehension and detailing skills for the customer requirements, understand the products, and alignment of both.
Excellent communication skills with an ability to impress upon clients..
Ability to analyse the business requirements of the client, analyses the gap between solution and requirement, discuss with development team and arrive at bridge plan.
Interpersonal skills with Customer & internal teams
Should have capability and mindset to function in an Start-up Environment.
Outgoing and convincing capabilities

Key Focus Areas:
Ability to understand the workflows of Supply Chain & Logistics Processes.
Account Management of Key customers and regular visits to them.
Good Time Management Skills.
Regular Feedback to product team on the new requirements of customers.
Problem Solving and good analytical skills
Experience and Qualifications:
Should be a Graduate with at least 2 -3 years of Solution Implementation Experience.
Preferably worked in Supply chain solutioning or internal Automation projects.
Should have Project Management skill sets.
Should have fair understanding and knowledge of Logistics flows.","",1,"Permanent","{""customer service"",logistics,""supply chain"",""SAP Supply Chain Management SAPSCM""}","sG585763","CIMY4030","2","3","15-30 days","Active","JDAM5355","2023-04-11 13:32:14.088163",1,"Medium","INR","Work from Home","",NULL,NULL,NULL,NULL,NULL,NULL
"Account Manager","Account Manager",800000,1000000,True,"{Bengaluru}","JOB DESCRIPTION · Identifying and cultivating new business opportunities · Building and maintaining relationships with clients and partners · Collaborating with cross-functional teams such as and technical teams to drive sales · Selling Exposure on AWS/ Azure/ Oracle Cloud / IBM · Preferred Any infra selling on cloud · Software maintaining on cloud understanding · Certification on cloud makes relevant with Infra experience SPECIFIC SKILL SETS REQUIRED · Proven sales experience with a track record of exceeding goals · Experience selling cloud-based products or services · Strong understanding of cloud technology and its applications · Excellent communication and negotiation skills · Ability to work in a fast-paced and dynamic environment · Strong analytical and problem-solving skills · Comfortable working with and presenting to C-level executives · Bachelor's degree in a related field, and a relevant certification would be considered a plus","/jobs/VELOCI_1681207075.docx",1,"Permanent","{aws,azure,""IBM cloud"",GCP,""any cloud sales""}","DB413862","CINE2222","3","10","0-15 days","Active","JDAM6271","2023-04-11 09:57:55.850368",2,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Account Manager","Account Manager",350000,600000,True,"{Hyderabad}","Account Manager - JD

Job brief

We are looking for a talented Digital Account Manager to join our team. You will manage our client
portfolio to help our clients improve their brand presence.
As a Digital Account Manager, you should have solid experience in client servicing. You should also
clearly understand how digital tools add value to company strategy and performance. Ultimately, you
should be able to contribute to business growth through creating and maintaining long-term client
relationships with digital marketing strategies, and planning, and they executed on time.

Responsibilities

- Act as the point of contact for clients for digital management matters
- Build strong, long-term client relationships and maintain frequent contact in regards to the project
deliveries
- Set digital strategies for your assigned customers, considering their specific requirements
- Suggest, design, and implement digital projects to increase customer ROI
- Address client queries effectively and in a timely manner
- Get optimized web content to increase traffic and improve SEO rankings
- Present social media strategies to clients
- Report on web performance metrics along with social media & google ads
- Analyze digital campaigns' success
- Stay up-to-date with digital technology trends
- On-time calendars
- Daily, Weekly & Monthly updates to the clients & internal teams

Requirements

- Proven work experience as a Digital Account Manager/ Social Media Manager
- In-depth understanding of online marketing tools and social media platforms
- Experience with customer service and account management
- Excellent verbal and written communication skills
- Strong analytical skills
- Attention to detail
- Interpersonal skills
- BSc degree in Marketing or relevant field","/Accoun_1_1695900615.pdf",1,"Permanent","{""Account Planning profile"",""client servicing"",""online marketing tools and social media platforms""}","DB413862","CIDM7690","3","5","0-15 days","active","JDAM8950","2023-09-28 11:30:56.822526",1,"Medium","INR","Work from Office",NULL,NULL,NULL,"IN",NULL,NULL,NULL
"AP Sr Lead/AM","AP Sr Lead/AM",1100000,1200000,True,"{Bangalore}","Job Description EXP: 6-9 Yrs  SHIFT: Rotational  ROLE:  6-9 Yrs in Accounts Payable domain. Manage a team of approx. 10 - 15 members and ensure that all key metrics of performance as per the Client SLA are met and exceeded. Be actively involved in client calls and ensure updates are communicated to the team Real- time queue management Manage and strengthen Client Relationship Act as the first level of escalations and resolve all people issues within the team through regular feedback, one-to-one sessions and team meetings or calibrations Manage team performance and responsible for the overall development of the team Institute creative and innovative rewards and recognition activities for enhancing team performance and motivation; foster career advancement of the team members within the project or lateral movement In this role, you need to analyze and solve moderately complex problems You will typically be creating new solutions, leveraging and, where needed, adapting existing methods an","",1,"Permanent","{""Accounts Payable""}","DB413862","CICS9111","6","9","0-15 days","Active","JDAS1207","2023-06-08 04:37:02.068068",2,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Azure Solution Architect","Azure Solution Architect",2100000,2400000,True,"{Bengaluru}","• Architecting and designing solutions that meet the functional and non-functional requirements  • Create and review architecture and solution design artifacts  • Provide technical direction and lead a group of one or more architects addressing a common goal.  • Enforce adherence to architectural standards and principles, globally followed product-specific guidelines, usability design standards, etc.  • Ability to analyze and operate at various levels of abstraction  • Ensure suitable sizing of solutions, technology fit, and DR are assessed and accounted for.  • Keep abreast of emerging technology/industry trends in the cloud and Define new patterns and standards as required.  • Drive, Plan and Develop blueprints and deliverables that help customers in advancing their Azure Cloud capabilities, involving both new solutions and migration of existing solutions  • Collaborate and Guide other team members to design and develop end-to-end processes aligning with the defined architecture.  • ","",1,"Permanent","{Azure,Architect}","DB413862","CIQC2196","8","14","45-60 days","Active","JDAS5563","2023-05-05 04:46:04.862037",2,"High","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Billing & Collections Sr Associate","Billing & Collections Sr Associate",700000,800000,True,"{Bangalore}","Shift timings: 3 PM to 12 Midnights

WORK FROM OFFICE

Total experience required: 5 to 6 years.

SEMI VOICE PROCESS – Please ensure communication is screened thoroughly before processing

BUDGET – Max 8 LPA

Notice Period – Max 15 days

 

Key Responsibilities

•             Providing customer service regarding collection issues, process customer refunds, process and review account adjustments, resolve client discrepancies and short payments. Responsible for monitoring and maintaining assigned accounts- Customer calls, account adjustments, small balance write off, customer reconciliations and processing credit memos.

•             Accountable for reducing delinquency for assigned accounts.

•             Perform other assigned tasks and duties necessary to support the Accounts Receivable Department.

•             Establish and maintain effective and cooperative working relationships with Billing and cash applications team.

Essential Functions

•             Weekly and monthly reporting to direct supervisor

•             Monthly Delinquency notices

•             Processing monthly credit memos and the appropriate reporting

•             High volume phone calls to assigned delinquent customers

•             Reconcile customer disputes as they pertain to payment of outstanding balances that are due

•             Internal and External customer interface

•             Participate in team planning meetings

•             Meet defined department goals and activity metrics

 

Mandatory skills: 

•             Knowledge of Credit Management and Collections procedures

•             Experience with Oracle JDE a plus

•             Commitment to excellent customer service

•             Excellent written and verbal communication abilities

•             Ability to prioritize and manage multiple responsibilities",NULL,1,"Permanent","{""Billing and Collections"",""CREDIT MANAGEMENT""}","DB413862","CICS9111","5","6","0-15 days","active","JDB&3041","2023-08-01 05:42:49.945494",6,"Hot","INR","Work from Office",NULL,NULL,NULL,NULL,NULL,NULL,NULL
" BigDatadeveloper","Bigdatadeveloper",12,15,False,"{Remote}","The purpose of position includes- Analysis , design and implementation of business requirements using PySpark Python
Cloudera Hadoop development around Big Data
Solid SQL experience
Development experience with PySpark SparkSql with good analytical debugging skillsShould be able to modify existing programming/codes for new requirements
Unit testing and debuggingPython Spark (SparkSQL , PySpark) , HDFS , Hive , Impala , Hue , Cloudera Hadoop , Zeppelin
Proficient knowledge of SQL with any RDBMS,CCA Spark
DevOps Knowledge is an added advantage
Singapore Wrk timings 8hrs/day
","",1,"Contract Hire","{""Big data infrastructure"",SQL,Devops,""Hadoop Administration"",RDBMS,SDLC,JIRA,Automation}","sarojini","CIDS9211","5","8","0-15 days","Active","JDB7947","2022-05-27 16:50:47.250119",2,"High","INR","Work from Home",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Billing Associate and Collections","Billing Associate",200000,750000,False,"{Bangalore}","•    Complete knowledge of billing function in service industry

•    Hands on experience of creatin","https://storage.googleapis.com/hrm-musquare/jobs/Billin1645681959",1,"Permanent","{Billing,Collection,Associate}","Achyuth","CICS9111","1","4","15-30 days","Active","JDBA1328","2022-02-24 05:52:40.170875",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Business analyst","Business development",5,6,False,"{Ahmedabad}","Responsibilities
Set project timeline
Monitor project deliverables
Update relevant stakeholders or team members on the project progress
Responsible for planning, coordinating, and managing projects within the budget, timeline, and scope of work
Handle client communication
Collect project requirements and transform it into projects pipeline
Create and maintain comprehensive project documentation
Manage and present project updates to the management, clients, or project team members
Coordination with sales and execution team for better client experience
Should understand Digital marketing, Mobile and Web Technologies. (WordPress, Magento, PHP and Frameworks, Android, iOS and iPhone)
Define the strategy to handle the project
Set and follow right process and best practices
Monitoring and managing different projects simultaneously
Ensure right resource allocation
Responsible for project progress, escalations and on-time delivery with quality
In short, we need someone who can make our clients happy","",1,"Permanent","{""Digital marketing"",""Business Analyst""}","sG585763","CIMY4030","2","5","15-30 days","Active","JDBA4638","2023-04-12 07:45:08.473384",1,"Medium","INR","Work from Office","",NULL,NULL,NULL,NULL,NULL,NULL
"Big Data Developer","Bigdatadeveloper",1200000,1800000,True,"{Hyderabad}","The purpose of position includes- Analysis , design and implementation of business requirements using PySpark Python.Cloudera Hadoop development around Big Data.Solid SQL experience
Development experience with PySpark SparkSql with good analytical debugging skillsShould be able to modify existing programming/codes for new requirements
Unit testing and debuggingPython Spark (SparkSQL , PySpark) , HDFS , Hive , Impala , Hue , Cloudera Hadoop , Zeppelin.Proficient knowledge of SQL with any RDBMS,CCA Spark.","",1,"Contract Hire","{Aurora/MySql,""Spark "",Kafka,S3,kinesis,""Java ""}","PC138515","CIGT5528","4","6","Immediate","inActive","JDBD2149","2022-09-20 13:43:54.990624",1,"High","INR","Work from Office","*Budget as per market Standard*
Initial 6 months contract basis
Document not available as of now
",NULL,NULL,NULL,NULL,NULL,NULL
